Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
105M_1	(1, 0.05517203787290385)	(2, 0.04328730741116949)	(3, 0.00010970520426216334)	(4, 0.02533975110212322)	(5, 0.005363724055445182)	(6, 0.0056896130445769025)	(7, 0.0004925978779614785)	(8, 0.07023069046971316)	(9, 3.2266236547695097e-06)	(10, 0.015552756232476341)	(15, 0.04486426594537718)	(20, 0.10457530286756711)	(25, 0.13258863433003235)	(30, 0.13670537589703097)	(35, 0.1721367151418113)	(40, 0.12411681126206953)	(45, 0.160643051467035)	(50, 0.09473625180295663)	(55, 0.046292799791465465)	(60, 0.029567488522845884)	(65, 0.007468128003085856)	(70, 0.06182490563255128)	(75, 0.04163785739885132)	(80, 0.06485836208452192)	(85, 0.002572049269338602)	(90, 0.05461146578994856)	(95, 0.012683212262167991)	(100, 0.0014281036296009853)	(105, 0.043644171987386994)	(110, 0.0013076430131562567)	(115, 0.04487760265648356)	(120, 0.014119059788540422)	(125, 0.03525602602620453)	(130, 0.03648687539637727)	(135, 0.08087188017489935)	(140, 0.027896957902649885)	(145, 0.02985745443528784)	(150, 0.0003963369389275215)
105M_2	(1, 0.05571303510568688)	(2, 0.0294052969071328)	(3, 0.006365052929641987)	(4, 0.005779958506910449)	(5, 0.00245761168371611)	(6, 0.040023039813761)	(7, 0.07628383644606077)	(8, 0.001533721777233774)	(9, 0.0022597120995569136)	(10, 0.03104872388862874)	(15, 0.0395672254454639)	(20, 0.017272761748712142)	(25, 0.025069144931609885)	(30, 0.03448658383866383)	(35, 0.07153790326638211)	(40, 0.007616767799448906)	(45, 0.040230189052397204)	(50, 0.061538381452007754)	(55, 0.05108713232596566)	(60, 0.032307967546963454)	(65, 0.02520939550647053)	(70, 0.08937876588657734)	(75, 0.010073734158434062)	(80, 0.01142138730490946)	(85, 0.07688398844584789)	(90, 0.09572123245063595)	(95, 0.13435660898460242)	(100, 0.008840733705824807)	(105, 0.029845193265399715)	(110, 0.029801311183694848)	(115, 0.05254276981075401)	(120, 0.044905136511670926)	(125, 0.048634037915366225)	(130, 0.05342471360972433)	(135, 0.08859663231266121)	(140, 0.032734742302367635)	(145, 0.02402479440868282)	(150, 0.028314698111820708)
106M_1	(1, 0.0642992297469461)	(2, 0.022688848645534863)	(3, 6.116508546048038e-05)	(4, 0.02847234728185362)	(5, 0.000912945534836059)	(6, 0.000579935625106777)	(7, 0.0006444987708706174)	(8, 0.08335102118111795)	(9, 0.0)	(10, 0.018471629271711518)	(15, 0.05241643940344967)	(20, 0.123818747871186)	(25, 0.1531859176995911)	(30, 0.15975799286364295)	(35, 0.19576519906216705)	(40, 0.14354222255865537)	(45, 0.18802645652729494)	(50, 0.10893547027982269)	(55, 0.05480595540877244)	(60, 0.03395387162588045)	(65, 0.008284244482238174)	(70, 0.0701235051069052)	(75, 0.04848964091688683)	(80, 0.07411554635129254)	(85, 0.0016435285000584636)	(90, 0.06336521623822922)	(95, 0.013799296354591487)	(100, 0.0005226216746567712)	(105, 0.05012320177338877)	(110, 0.0005609064874079609)	(115, 0.05154585635372883)	(120, 0.016283051898994108)	(125, 0.04007445784429252)	(130, 0.04187044598329507)	(135, 0.09515565613763712)	(140, 0.03233911336972377)	(145, 0.03435167121872713)	(150, 0.0004525083637307762)
106M_2	(1, 0.04910423675708788)	(2, 0.03315260900634815)	(3, 0.0023129463798203876)	(4, 0.001923302131701772)	(5, 0.00266294659106647)	(6, 0.04611394369013106)	(7, 0.08869843541183885)	(8, 0.0017341434414813975)	(9, 0.0023911017667976684)	(10, 0.0353022219542537)	(15, 0.04536342543779561)	(20, 0.01962470440131835)	(25, 0.029285389843770892)	(30, 0.0395149105810059)	(35, 0.08223826970044433)	(40, 0.008353338375073162)	(45, 0.04595106333292334)	(50, 0.07122017243547625)	(55, 0.058486734329372014)	(60, 0.03683859828607954)	(65, 0.02879244456243013)	(70, 0.10203378326634491)	(75, 0.011222433957876806)	(80, 0.012412887750820601)	(85, 0.08832057110610521)	(90, 0.11093171743936991)	(95, 0.15690611411970967)	(100, 0.009130814572481934)	(105, 0.03390924376722965)	(110, 0.033394777437300946)	(115, 0.05863035901152736)	(120, 0.05152025763277686)	(125, 0.05533401397991458)	(130, 0.06011100715437811)	(135, 0.10159588656191859)	(140, 0.03669044285685305)	(145, 0.026332928514858148)	(150, 0.030759241866014912)
107M_1	(1, 0.054224615480884614)	(2, 0.04057544472640775)	(3, 0.00010464399478767204)	(4, 0.026307923093640096)	(5, 0.004731176976460809)	(6, 0.0048664742626509305)	(7, 0.0004967947227293521)	(8, 0.07427609609827995)	(9, 3.171030145080971e-06)	(10, 0.01633059384515733)	(15, 0.047657200648412244)	(20, 0.1100687817578669)	(25, 0.13755738507552548)	(30, 0.14228750504193793)	(35, 0.18026376205942765)	(40, 0.12852988505649932)	(45, 0.1663790894661761)	(50, 0.09898941383296367)	(55, 0.049050762696170494)	(60, 0.030567039382503186)	(65, 0.007495892458952072)	(70, 0.06498814880333778)	(75, 0.04373759598708249)	(80, 0.0667248163127938)	(85, 0.0023926479454684287)	(90, 0.05716944547561647)	(95, 0.013235034217529286)	(100, 0.0012498086811812469)	(105, 0.04488762291969853)	(110, 0.0011946327566568378)	(115, 0.04693801101150788)	(120, 0.014615912144707213)	(125, 0.03641167074390676)	(130, 0.037626598093492114)	(135, 0.08443776789919676)	(140, 0.028343301642762737)	(145, 0.030742291648521325)	(150, 0.00043495963490027326)
107M_2	(1, 0.055527908870512885)	(2, 0.030778018588155907)	(3, 0.005723709411871153)	(4, 0.005199432427884433)	(5, 0.002555850296935263)	(6, 0.04232902439663753)	(7, 0.07767755443390348)	(8, 0.0016320235146683399)	(9, 0.0024078688901648174)	(10, 0.03265082899184073)	(15, 0.04161469700595562)	(20, 0.01743051850148108)	(25, 0.025877931405967117)	(30, 0.03610598343792096)	(35, 0.07420633343508817)	(40, 0.00790537815168686)	(45, 0.04239878705982931)	(50, 0.06458754199500923)	(55, 0.051512961902821036)	(60, 0.03346409252304916)	(65, 0.0257100782102875)	(70, 0.091783353529272)	(75, 0.010470530137047695)	(80, 0.011698353009223048)	(85, 0.07955882091797517)	(90, 0.09873319459724113)	(95, 0.13900316341967273)	(100, 0.009051811250138469)	(105, 0.030976313673228305)	(110, 0.030402568618978318)	(115, 0.05456454991243729)	(120, 0.0460002316966026)	(125, 0.04945369492660545)	(130, 0.055559619171963705)	(135, 0.09300208611503144)	(140, 0.03298420996109357)	(145, 0.02478688563404959)	(150, 0.02909261606604537)
109M_1	(1, 0.051685891985834835)	(2, 0.05212975937884297)	(3, 0.00010828648959860021)	(4, 0.024095352150880604)	(5, 0.006738421654724775)	(6, 0.007510364946912817)	(7, 0.0005199895787655554)	(8, 0.06678703263926339)	(9, 7.505004229605956e-06)	(10, 0.01495704457222012)	(15, 0.04272877665214627)	(20, 0.10040301872712984)	(25, 0.125480883146012)	(30, 0.13054911971661104)	(35, 0.16273315099746866)	(40, 0.11782963854827487)	(45, 0.15306113040373706)	(50, 0.09006541147257832)	(55, 0.04462861486569795)	(60, 0.028007389212735778)	(65, 0.007358978290167051)	(70, 0.058771044835967415)	(75, 0.04014984277016139)	(80, 0.06161908672675673)	(85, 0.0028842803397837054)	(90, 0.05275095930036206)	(95, 0.012506553476907637)	(100, 0.001750381415036383)	(105, 0.04177542668629404)	(110, 0.0016390929237459406)	(115, 0.043266349383678335)	(120, 0.013598424377969168)	(125, 0.03364579167609259)	(130, 0.03438342637751672)	(135, 0.07758523272482044)	(140, 0.026559566682498655)	(145, 0.027974367194125514)	(150, 0.00041277523262832756)
109M_2	(1, 0.05866125734552288)	(2, 0.028520088215964003)	(3, 0.007976747352609757)	(4, 0.007240184794647003)	(5, 0.0024251885096240955)	(6, 0.038170451511775894)	(7, 0.07206733918652186)	(8, 0.0014098686517045474)	(9, 0.0022064712435041507)	(10, 0.029554277798803704)	(15, 0.037886119065819956)	(20, 0.016309660763087385)	(25, 0.023988566662127928)	(30, 0.03303960176303271)	(35, 0.06794108786108452)	(40, 0.0074691946379961205)	(45, 0.03865398821285479)	(50, 0.05863188061468129)	(55, 0.04857002865839472)	(60, 0.030994166467426674)	(65, 0.023869773166607877)	(70, 0.08495128716183256)	(75, 0.009800034523019457)	(80, 0.011111051547585479)	(85, 0.07348707155807105)	(90, 0.09167619980894404)	(95, 0.12856072245315)	(100, 0.008725746774724432)	(105, 0.02869291774193721)	(110, 0.028580771535877673)	(115, 0.050086897227544225)	(120, 0.043123111017238994)	(125, 0.04650036292056167)	(130, 0.0512463131666722)	(135, 0.08444930959321804)	(140, 0.03132567322568298)	(145, 0.023460214364363664)	(150, 0.027726702054548517)
239M_1	(1, 0.04879189826207513)	(2, 0.055093684098274524)	(3, 0.0001146956470994752)	(4, 0.02404168757588354)	(5, 0.007573612568149217)	(6, 0.008336708607319113)	(7, 0.0005281549555951641)	(8, 0.06470961915671117)	(9, 1.4799438335416153e-05)	(10, 0.014477550551620852)	(15, 0.04181618300267673)	(20, 0.09670415490808897)	(25, 0.1219301675367642)	(30, 0.1250580288289544)	(35, 0.15953646531195262)	(40, 0.11353629609887454)	(45, 0.1465506981445417)	(50, 0.08791032864918469)	(55, 0.04285251367211425)	(60, 0.02737230117326895)	(65, 0.007107985239521186)	(70, 0.057773677387839194)	(75, 0.03884297584109162)	(80, 0.05941197521156977)	(85, 0.003056084016263436)	(90, 0.05091080784574834)	(95, 0.012117040137121976)	(100, 0.0018721289494301435)	(105, 0.040285921078794695)	(110, 0.0017594682251017878)	(115, 0.04169427262938874)	(120, 0.013212198573942771)	(125, 0.032622586915737016)	(130, 0.03342360651564142)	(135, 0.0745440309235744)	(140, 0.025219537874403477)	(145, 0.027002685200841932)	(150, 0.00043334605375890426)
239M_2	(1, 0.060784993103137994)	(2, 0.028296526097315686)	(3, 0.008696519951848917)	(4, 0.007920474404135533)	(5, 0.0023790097124181467)	(6, 0.036858001174353935)	(7, 0.06887751097792275)	(8, 0.0013874473439452644)	(9, 0.0022485896620872917)	(10, 0.029006159165498892)	(15, 0.03666671843386868)	(20, 0.01566372553420446)	(25, 0.023201264471411097)	(30, 0.032046703771510136)	(35, 0.06573022542291732)	(40, 0.007451517201882033)	(45, 0.03764255639911018)	(50, 0.056897180652424176)	(55, 0.04649391547454339)	(60, 0.03024931198567385)	(65, 0.023246032772375733)	(70, 0.08224362371055384)	(75, 0.00971897614784698)	(80, 0.01109865378666615)	(85, 0.07083899153630296)	(90, 0.08863346620484897)	(95, 0.12376844277100206)	(100, 0.008838964545827298)	(105, 0.028206804502407225)	(110, 0.02807712442399314)	(115, 0.04972000803868491)	(120, 0.0419334685514849)	(125, 0.045252797577139556)	(130, 0.05033677463131339)	(135, 0.08281155215667543)	(140, 0.030345693327833247)	(145, 0.023236228144478517)	(150, 0.02721154227435049)
