Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64
105M_R1 - polya	(1, 0.010861885509034474)	(2, 0.013361705328627226)	(3, 0.015894117323182074)	(4, 0.01828203734207163)	(5, 0.0207090679709157)	(6, 0.02290360775169682)	(7, 0.0252328618556546)	(8, 0.027639250773689346)	(9, 0.02995764081932643)	(10, 0.033579174660531314)	(12, 0.038319706508768155)	(14, 0.04309500334363123)	(16, 0.047796967784829586)	(18, 0.052370736337843705)	(20, 0.05703196056033945)	(22, 0.061652987767048605)	(24, 0.06636092744032335)	(26, 0.07113948349268263)	(28, 0.07592999000919469)	(30, 0.0806982252061493)	(32, 0.08541051050275233)	(34, 0.09017059765596643)	(36, 0.09488016693798929)	(38, 0.09960060027833284)	(40, 0.10417871445467522)	(42, 0.10894912246329398)	(44, 0.11353810069795708)	(46, 0.11797063649280212)	(48, 0.12274484692183313)	(50, 0.1277395977347743)	(52, 0.13236714337647587)	(54, 0.1367741486342673)	(56, 0.14122895574866973)	(58, 0.14546376568207806)	(60, 0.14972464935545607)	(62, 0.1541180745403466)	(64, 0.1585022652756645)	(66, 0.16286364148850896)	(68, 0.16713810523478784)	(70, 0.17159236914627427)	(72, 0.17623675407837291)	(74, 0.1806415865245002)	(76, 0.18501056757816914)	(78, 0.18955934879704564)	(80, 0.19403371121642538)	(82, 0.19862214624817243)	(84, 0.20332465389228682)	(86, 0.20801466786933243)	(88, 0.21280517438584445)	(90, 0.21735504201055306)	(92, 0.22174738078961148)	(94, 0.22616742291738773)	(96, 0.23059181066849221)	(98, 0.23492982915594718)	(100, 0.2392423171063485)	(102, 0.24354231138968102)	(104, 0.24789065073254063)	(106, 0.25227918709118685)	(108, 0.2566030823028249)	(110, 0.2611056912738384)	(112, 0.265390475875522)	(114, 0.26959432324271626)	(116, 0.2736781227654669)	(118, 0.277691849112049)	(120, 0.2807881057334481)
105M_R1 - polyg	(1, 0.0010961834845584903)	(2, 0.0013829946242249337)	(3, 0.0016871882572044947)	(4, 0.0019696537735426588)	(5, 0.0022934027114994773)	(6, 0.002562831357852803)	(7, 0.0028920123249699713)	(8, 0.003194033146285393)	(9, 0.003497140373432884)	(10, 0.003964294881222925)	(12, 0.004617767989212946)	(14, 0.005262006647630374)	(16, 0.005952960756826806)	(18, 0.006661297359336356)	(20, 0.007448398384670971)	(22, 0.008390855443991575)	(24, 0.010170931399838042)	(26, 0.03397462638340474)	(28, 0.07100965799575029)	(30, 0.08141851227281163)	(32, 0.08960023459412976)	(34, 0.09313702878043319)	(36, 0.09547388772521545)	(38, 0.09783845001871551)	(40, 0.1003154553158348)	(42, 0.10284406488997741)	(44, 0.10477623766231364)	(46, 0.11209861297046451)	(48, 0.12324242079292111)	(50, 0.1318663102878917)	(52, 0.14352127205433718)	(54, 0.1527638696706715)	(56, 0.15796014876546166)	(58, 0.16126173608912198)	(60, 0.16350842334984245)	(62, 0.16526731439196352)	(64, 0.16669159243780712)	(66, 0.16786056511311429)	(68, 0.16885245363779405)	(70, 0.16963792505438058)	(72, 0.17046142067508954)	(74, 0.17127513864330984)	(76, 0.1720426843636672)	(78, 0.1728558591289715)	(80, 0.17358918306561866)	(82, 0.17430403810312065)	(84, 0.17500096744439347)	(86, 0.17558816979662722)	(88, 0.17617102652553268)	(90, 0.17677343855941544)	(92, 0.17739594910119144)	(94, 0.17798369465634126)	(96, 0.17851711991988756)	(98, 0.17902664425512832)	(100, 0.17953127976412478)	(102, 0.18002342160605245)	(104, 0.18056445171042323)	(106, 0.1810652847990074)	(108, 0.18158621639548492)	(110, 0.18211203681820676)	(112, 0.18267805425671513)	(114, 0.18317888734529936)	(116, 0.18364278263559317)	(118, 0.18410776433171908)	(120, 0.18445106857465315)
105M_R2 - illumina_universal_adapter	(1, 0.001317810274300742)	(2, 0.002859420150007875)	(3, 0.0043477961399435855)	(4, 0.006040416426308429)	(5, 0.007411460586380595)	(6, 0.008676036974909913)	(7, 0.009612518802154133)	(8, 0.01035236117379371)	(9, 0.010903168930653129)	(10, 0.011479507224566192)	(12, 0.011902662296157402)	(14, 0.012147646811289155)	(16, 0.01514015167572559)	(18, 0.01911150819485697)	(20, 0.02317575241263032)	(22, 0.02751865972632959)	(24, 0.03221084651503932)	(26, 0.03726643605457642)	(28, 0.04289999349677469)	(30, 0.048776905845356607)	(32, 0.055122602310476665)	(34, 0.06193273726880659)	(36, 0.0693382226231108)	(38, 0.07728691089344994)	(40, 0.08596620708585606)	(42, 0.09525606335588546)	(44, 0.10541015546532641)	(46, 0.11630463314932299)	(48, 0.1283175656374355)	(50, 0.14154618625163415)	(52, 0.14497977188389094)	(54, 0.14504712904547928)	(56, 0.14513404151204484)	(58, 0.14524594131274804)	(60, 0.14537033478052006)	(62, 0.14550287629203257)	(64, 0.1456604051376827)	(66, 0.14585161256412701)	(68, 0.14604553600515147)	(70, 0.14626444678031356)	(72, 0.14653930745582722)	(74, 0.1468125385225928)	(76, 0.14709826325642716)	(78, 0.1473850743960936)	(80, 0.1476784039707525)	(82, 0.14799780728538103)	(84, 0.1483003713096125)	(86, 0.14864802117587483)	(88, 0.14901957197044272)	(90, 0.14944489985369808)	(92, 0.14989521507109105)	(94, 0.15042864033463732)	(96, 0.1510424596297568)	(98, 0.15172526569521272)	(100, 0.15249498422723423)	(102, 0.15334020796458456)	(104, 0.15430547954637863)	(106, 0.15541741591550212)	(108, 0.15659833905496207)	(110, 0.1579052852709421)	(112, 0.15940669813086267)	(114, 0.16105314616936456)	(116, 0.16282833329896668)	(118, 0.16475616044797467)	(120, 0.16630917758491853)
105M_R2 - polya	(1, 0.10492833447880343)	(2, 0.14004531659462963)	(3, 0.17452240567536667)	(4, 0.20953183361381797)	(5, 0.24419252528017482)	(6, 0.2787130705941947)	(7, 0.3130348036409457)	(8, 0.3477041865539592)	(9, 0.3825745545459055)	(10, 0.43525708935755325)	(12, 0.5062156862791962)	(14, 0.5769140890040585)	(16, 0.6480166346984508)	(18, 0.7188839735302)	(20, 0.7897404483036283)	(22, 0.8608897094487997)	(24, 0.9317494434397242)	(26, 1.0024456733529223)	(28, 1.0733950358249928)	(30, 1.144466075750255)	(32, 1.2157103974057324)	(34, 1.287389824596954)	(36, 1.3585988380628888)	(38, 1.4302945613415914)	(40, 1.5019278162849496)	(42, 1.573964127792006)	(44, 1.6455017790221422)	(46, 1.717171971763791)	(48, 1.7884391079417417)	(50, 1.8594031368925452)	(52, 1.9304877568907082)	(54, 2.0019656558000807)	(56, 2.072793884021875)	(58, 2.143533570168356)	(60, 2.213877804591964)	(62, 2.2843974935574503)	(64, 2.3545679030479265)	(66, 2.424968087371886)	(68, 2.4959234250760325)	(70, 2.56695263837676)	(72, 2.6383843650382692)	(74, 2.7099236458771543)	(76, 2.782127263882349)	(78, 2.8547893451486774)	(80, 2.927745299192581)	(82, 3.00060184710285)	(84, 3.0730260054919554)	(86, 3.145097625188554)	(88, 3.2172121579155193)	(90, 3.2890768173011082)	(92, 3.3608746627280253)	(94, 3.433446029107376)	(96, 3.5056425854746625)	(98, 3.5779923250642716)	(100, 3.650551740979469)	(102, 3.722303957361439)	(104, 3.794451082263367)	(106, 3.866205471457001)	(108, 3.9380880565388194)	(110, 4.009660472755582)	(112, 4.081173679854496)	(114, 4.153265941261904)	(116, 4.225030108108027)	(118, 4.296783954098745)	(120, 4.35190818601797)
105M_R2 - polyg	(1, 0.03133303060272687)	(2, 0.03136888199518518)	(3, 0.031415597445964186)	(4, 0.03147534976672803)	(5, 0.03152858365249945)	(6, 0.031568780668286035)	(7, 0.03162310095988953)	(8, 0.03167524843982888)	(9, 0.031730655137264446)	(10, 0.031870258286685424)	(12, 0.03201909588567899)	(14, 0.0321217612368096)	(16, 0.03221030331212329)	(18, 0.032285265314536106)	(20, 0.0323863010569186)	(22, 0.03250689210427836)	(24, 0.03264540884786726)	(26, 0.032802394490601364)	(28, 0.03298436746747306)	(30, 0.033182636531825814)	(32, 0.033407522539064274)	(34, 0.03365467986586017)	(36, 0.033945293425938855)	(38, 0.03426578314639947)	(40, 0.03457866802603558)	(42, 0.034918713051473455)	(44, 0.035254955656499075)	(46, 0.03561998801607455)	(48, 0.03606215518972698)	(50, 0.03651790243628029)	(52, 0.036974736088665666)	(54, 0.037979118280414254)	(56, 0.0771353572798762)	(58, 0.13366376873705127)	(60, 0.1529349785892225)	(62, 0.16588819532499147)	(64, 0.17245171615944152)	(66, 0.1765985272204522)	(68, 0.17999734786608274)	(70, 0.1831191350245355)	(72, 0.18551303027550142)	(74, 0.18671948395201504)	(76, 0.1876461881267706)	(78, 0.18855116418488482)	(80, 0.18942735048844914)	(82, 0.190295931951189)	(84, 0.19123947541634168)	(86, 0.1921879077077387)	(88, 0.19309777259209718)	(90, 0.19427760932572502)	(92, 0.19792087128357133)	(94, 0.20285912899324487)	(96, 0.2080363959859738)	(98, 0.2133798830710094)	(100, 0.21901126770154355)	(102, 0.22519128727727294)	(104, 0.23175861053213526)	(106, 0.23875778010524534)	(108, 0.24615729022747318)	(110, 0.2539788690154602)	(112, 0.26258537601711757)	(114, 0.27167207439654995)	(116, 0.2813633576215291)	(118, 0.29181132250854497)	(120, 0.2999968472502753)
106M_R1 - polya	(1, 0.008685375439172822)	(2, 0.01095027964185078)	(3, 0.013183138711797566)	(4, 0.015365641144595375)	(5, 0.017432552205755753)	(6, 0.019459406851002174)	(7, 0.02162016437230383)	(8, 0.023786644238736054)	(9, 0.025776875875146852)	(10, 0.028981961382776776)	(12, 0.03335955540765964)	(14, 0.0378412961139188)	(16, 0.042277830293646484)	(18, 0.04666057442914686)	(20, 0.05096721137441071)	(22, 0.05540717896121673)	(24, 0.05992611491082458)	(26, 0.0644175836038057)	(28, 0.06901377121267618)	(30, 0.07369579399850514)	(32, 0.07827309786844475)	(34, 0.0828629908976716)	(36, 0.0876382879091288)	(38, 0.09222474753127731)	(40, 0.0966795932154228)	(42, 0.10143943989502746)	(44, 0.10620558115427575)	(46, 0.1108378195374688)	(48, 0.11569380161526696)	(50, 0.1206648028301895)	(52, 0.12526671278419055)	(54, 0.12979766565857256)	(56, 0.13429542893119734)	(58, 0.13870163468173302)	(60, 0.14304546687034553)	(62, 0.1475586804748228)	(64, 0.15197232527402824)	(66, 0.15640542604667756)	(68, 0.1607309467308723)	(70, 0.1651463082336169)	(72, 0.16958455911688375)	(74, 0.17400163732316754)	(76, 0.17832429683479695)	(78, 0.18273279152338487)	(80, 0.18716532006152115)	(82, 0.19145593444041942)	(84, 0.1959708647484359)	(86, 0.2005870805652633)	(88, 0.2051872738157252)	(90, 0.20946873244241454)	(92, 0.2137370296753036)	(94, 0.21788057978434633)	(96, 0.22210996507034753)	(98, 0.22644693044480338)	(100, 0.2305984918370289)	(102, 0.23471629139298406)	(104, 0.2388558358604354)	(106, 0.24303486450928763)	(108, 0.2472911448174025)	(110, 0.25153083032463874)	(112, 0.2555650836416876)	(114, 0.2594711564278118)	(116, 0.2634201468024153)	(118, 0.26731878053986985)	(120, 0.27019998131310974)
106M_R1 - polyg	(1, 0.001434019689719798)	(2, 0.001772782521449295)	(3, 0.0020772112823953977)	(4, 0.002362184069897576)	(5, 0.002664323892791452)	(6, 0.0029973643793903835)	(7, 0.003332693804041541)	(8, 0.0036222444676481725)	(9, 0.003931251104698727)	(10, 0.004424517254953502)	(12, 0.005103187387438609)	(14, 0.0057480956836533795)	(16, 0.006390142807302867)	(18, 0.007038484510595975)	(20, 0.007738899554577234)	(22, 0.008498826987916375)	(24, 0.0093657622751971)	(26, 0.012181728313948547)	(28, 0.01687920143163004)	(30, 0.019026797559131396)	(32, 0.020864242580556084)	(34, 0.02201786735887816)	(36, 0.023016416584161897)	(38, 0.023963464703270543)	(40, 0.025073027424087256)	(42, 0.026202618352860953)	(44, 0.027558814148805053)	(46, 0.035392132398036624)	(48, 0.04599163228338371)	(50, 0.06386366059516693)	(52, 0.09977023182044142)	(54, 0.12448732937740747)	(56, 0.1371806353460286)	(58, 0.1451850517146641)	(60, 0.149381247398908)	(62, 0.15252567604815395)	(64, 0.15531875270638312)	(66, 0.15745662084716253)	(68, 0.1588448617758378)	(70, 0.15971694717373602)	(72, 0.16052208113360666)	(74, 0.16124080768200572)	(76, 0.16194637283660446)	(78, 0.16264964905315102)	(80, 0.16337524241570678)	(82, 0.16407680192871416)	(84, 0.16476634451694733)	(86, 0.1654335699591713)	(88, 0.16611052338811724)	(90, 0.166755431684332)	(92, 0.1673682948478156)	(94, 0.16794510723697664)	(96, 0.1685768541393911)	(98, 0.16913421055510822)	(100, 0.16973105115222625)	(102, 0.17029756332015225)	(104, 0.17086006984648688)	(106, 0.17144718245688292)	(108, 0.17201998920445255)	(110, 0.1725481616600038)	(112, 0.17308777880581616)	(114, 0.1736130900888021)	(116, 0.17412752891603994)	(118, 0.17462480070788614)	(120, 0.17500304772101655)
106M_R2 - illumina_universal_adapter	(1, 0.0011822365039749012)	(2, 0.0024640418132216477)	(3, 0.0038488493348185797)	(4, 0.0051878780953709845)	(5, 0.006370114599345886)	(6, 0.007373813935247133)	(7, 0.008136030306638502)	(8, 0.008701398005538406)	(9, 0.009162619023062013)	(10, 0.009584355859184716)	(12, 0.009948869244001757)	(14, 0.01014800685454545)	(16, 0.013089864486169344)	(18, 0.01704686614395562)	(20, 0.021120603642405433)	(22, 0.02536887266733751)	(24, 0.029974216028416892)	(26, 0.034909738703529924)	(28, 0.040059849321039176)	(30, 0.04534672398716895)	(32, 0.05102901270182082)	(34, 0.057000279845566264)	(36, 0.06361531081650038)	(38, 0.07045637442009181)	(40, 0.07789885649690574)	(42, 0.08579225937000826)	(44, 0.09423042949954064)	(46, 0.10336500903146287)	(48, 0.11323090427107144)	(50, 0.12379492561660901)	(52, 0.12655309596954173)	(54, 0.1266034526066907)	(56, 0.12668070426595335)	(58, 0.1267671116774249)	(60, 0.12687926964198398)	(62, 0.1270028722968042)	(64, 0.12713105282772888)	(66, 0.12726209453121884)	(68, 0.12741087550461355)	(70, 0.12760200183197445)	(72, 0.12780342838057038)	(74, 0.12800084928757488)	(76, 0.12822173180961474)	(78, 0.1284529145528896)	(80, 0.12866292461918136)	(82, 0.12890269088015208)	(84, 0.12919166930924564)	(86, 0.12945833059233003)	(88, 0.1297976656585726)	(90, 0.13014157860091957)	(92, 0.13054385946359837)	(94, 0.13096731300326023)	(96, 0.13140736134380074)	(98, 0.1319572787108481)	(100, 0.13256270282566196)	(102, 0.13322706709532067)	(104, 0.13395838280300698)	(106, 0.13482016797967022)	(108, 0.1358049835766406)	(110, 0.13692427428417925)	(112, 0.13808705481471023)	(114, 0.1393923217389923)	(116, 0.14092247682690562)	(118, 0.14257394563158693)	(120, 0.14387120127268618)
106M_R2 - polya	(1, 0.10447857739387098)	(2, 0.13893510636306008)	(3, 0.17331953378360407)	(4, 0.20760782580595455)	(5, 0.24186750610265217)	(6, 0.27600701715160797)	(7, 0.3102621195722011)	(8, 0.3453149169039952)	(9, 0.37982065804130716)	(10, 0.4323660922027279)	(12, 0.5021849973752748)	(14, 0.5721051880566326)	(16, 0.6426845928970315)	(18, 0.7139976023831691)	(20, 0.7851978816702344)	(22, 0.8560799985680403)	(24, 0.9278021557310133)	(26, 0.9990934203056547)	(28, 1.0707314589952084)	(30, 1.142743739056301)	(32, 1.2144000892502724)	(34, 1.2865445554838812)	(36, 1.3588996040182948)	(38, 1.431606004543725)	(40, 1.5039055463303723)	(42, 1.5764168148868503)	(44, 1.6486236546823823)	(46, 1.7211372121769124)	(48, 1.7939283034102749)	(50, 1.8668504363471277)	(52, 1.9398646990405823)	(54, 2.0132680812029156)	(56, 2.086313816794589)	(58, 2.1586333867891927)	(60, 2.2307189128679568)	(62, 2.3027884163803547)	(64, 2.374645048653896)	(66, 2.4460141371223134)	(68, 2.517676209661415)	(70, 2.5896020823110364)	(72, 2.661695619672983)	(74, 2.7343636804860383)	(76, 2.806992257117693)	(78, 2.8801999350765612)	(80, 2.952972714805506)	(82, 3.0260413397777013)	(84, 3.0990813530242436)	(86, 3.1718255210275355)	(88, 3.2442080368185757)	(90, 3.3163336193132538)	(92, 3.3880243035780087)	(94, 3.459849462953332)	(96, 3.532119820779813)	(98, 3.604255703495726)	(100, 3.67621591021613)	(102, 3.7476794173792016)	(104, 3.819318028303268)	(106, 3.8902659521700755)	(108, 3.9613288951740078)	(110, 4.033093397690946)	(112, 4.104168929854166)	(114, 4.174710567216703)	(116, 4.245510854579142)	(118, 4.316683094375067)	(120, 4.371084285062331)
106M_R2 - polyg	(1, 0.030844584722775955)	(2, 0.030891507952846595)	(3, 0.03093385330681278)	(4, 0.03100252144837957)	(5, 0.031047155740397986)	(6, 0.031083778749233605)	(7, 0.031129557510278134)	(8, 0.031185636492557678)	(9, 0.031249726758020017)	(10, 0.03137676281991858)	(12, 0.03153355507649608)	(14, 0.03164170739946377)	(16, 0.031736126094118106)	(18, 0.03186087321796445)	(20, 0.03200278737720248)	(22, 0.032170452089528054)	(24, 0.03233926127087975)	(26, 0.032541260053988726)	(28, 0.03276614821761996)	(30, 0.03300877565115595)	(32, 0.03326857012008364)	(34, 0.033585588040316985)	(36, 0.033938084500359844)	(38, 0.03424194102679289)	(40, 0.03457440927887877)	(42, 0.03497783461058365)	(44, 0.03538240441131466)	(46, 0.0358115802961071)	(48, 0.0362504841676215)	(50, 0.03670769954355371)	(52, 0.03721069368053044)	(54, 0.03815087498548241)	(56, 0.07137481081354764)	(58, 0.12006452882599314)	(60, 0.13962236001324105)	(62, 0.15419488412274002)	(64, 0.1615635479473696)	(66, 0.16583527858733701)	(68, 0.1693940050240359)	(70, 0.17259222371750915)	(72, 0.1750802993802792)	(74, 0.1762596747116888)	(76, 0.1771912724989449)	(78, 0.17815663212247135)	(80, 0.17910368024158002)	(82, 0.18003012791821862)	(84, 0.18092968057274356)	(86, 0.18184697249717327)	(88, 0.18280489307203)	(90, 0.18404721419987585)	(92, 0.18772095977369913)	(94, 0.19273430634258784)	(96, 0.19779686507959943)	(98, 0.20294468675905644)	(100, 0.20855544615957625)	(102, 0.2145387302280959)	(104, 0.22057923774792115)	(106, 0.22698998099769407)	(108, 0.23367368011019496)	(110, 0.24091416340389993)	(112, 0.2487961215867413)	(114, 0.2567467479111495)	(116, 0.2651597397221074)	(118, 0.2742107730151233)	(120, 0.28122236250360566)
