Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69
105M_R1	(1, 39.48573232998395)	(2, 39.51560247167756)	(3, 39.48973254144198)	(4, 39.3697538141373)	(5, 39.453109018630705)	(6, 39.32782658842256)	(7, 39.26112644162523)	(8, 39.19651219402547)	(9, 39.2993181912551)	(10, 39.25235834262011)	(12, 39.30873580885098)	(14, 39.24259597586154)	(16, 39.21865797638296)	(18, 39.342581653516994)	(20, 39.282175905594634)	(22, 39.284081656736014)	(24, 39.33373982588735)	(26, 39.237437367857844)	(28, 39.231352407712876)	(30, 39.24227269730372)	(32, 39.27557072138642)	(34, 39.248493147778944)	(36, 39.22830920445229)	(38, 39.19874539434514)	(40, 39.190102324985915)	(42, 39.18429354710892)	(44, 39.17420563595772)	(46, 39.16026532608389)	(48, 39.12747418581395)	(50, 39.10112309312001)	(52, 39.088589903239466)	(54, 39.023579469546995)	(56, 39.050631225183885)	(58, 39.04478806348782)	(60, 39.01497233812481)	(62, 38.96904000051916)	(64, 38.93019805618944)	(66, 38.94634018626293)	(68, 38.92181538088283)	(70, 38.85257481169785)	(72, 38.87679187596642)	(74, 38.8484091475631)	(76, 38.81709182690615)	(78, 38.805666295740004)	(80, 38.782593536061256)	(82, 38.76995651412845)	(84, 38.7388917375389)	(86, 38.71027707718572)	(88, 38.68872167792116)	(90, 38.69434353721138)	(92, 38.67660993799914)	(94, 38.66264247564696)	(96, 38.5881711861555)	(98, 38.61318347446633)	(100, 38.60179770637687)	(102, 38.56690753360154)	(104, 38.563059359049305)	(106, 38.50408471814894)	(108, 38.525207654550215)	(110, 38.46161801482572)	(112, 38.47955457889613)	(114, 38.44407545012717)	(116, 38.41604400182517)	(118, 38.40367270044038)	(120, 38.41957358947387)	(122, 38.370808141957426)	(124, 38.38004993325249)	(126, 38.3410262262166)	(128, 38.321750193986595)	(130, 38.065267957596504)
105M_R2	(1, 39.56759413929248)	(2, 39.57624216872504)	(3, 39.55693313022179)	(4, 39.57263671369015)	(5, 39.562191269264666)	(6, 39.489126652909434)	(7, 39.4811363118395)	(8, 39.459638122128396)	(9, 39.43350182691091)	(10, 39.434207729964356)	(12, 39.45272601711867)	(14, 39.423842038591005)	(16, 39.37826664036406)	(18, 39.429049583714274)	(20, 39.41765220877061)	(22, 39.421940947889524)	(24, 39.40228236917387)	(26, 39.35642441851812)	(28, 39.35957603838072)	(30, 39.34444807617843)	(32, 39.30170179824283)	(34, 39.31153919218817)	(36, 39.2825726359532)	(38, 39.26958076489793)	(40, 39.24317896295915)	(42, 39.23926570742391)	(44, 39.21060311667671)	(46, 39.21498818740075)	(48, 39.188209891520856)	(50, 39.148423135168635)	(52, 39.08911668401521)	(54, 39.1244882273172)	(56, 39.1027497963543)	(58, 39.075419762650064)	(60, 39.06264361884817)	(62, 39.04734572463069)	(64, 38.979775933933084)	(66, 39.00144541821685)	(68, 38.952060728173834)	(70, 38.92438157555577)	(72, 38.86290599218165)	(74, 38.83369825141453)	(76, 38.79325275205491)	(78, 38.80413146927637)	(80, 38.808965684294435)	(82, 38.779393757401344)	(84, 38.7596483998315)	(86, 38.70246833293963)	(88, 38.69632701026681)	(90, 38.645798907382655)	(92, 38.62608316235975)	(94, 38.57804647356198)	(96, 38.55878888692485)	(98, 38.49636929867873)	(100, 38.47234955340969)	(102, 38.44739676804025)	(104, 38.43314060289855)	(106, 38.40111739585192)	(108, 38.332539402875526)	(110, 38.33994611901445)	(112, 38.29915743375008)	(114, 38.31391836290913)	(116, 38.22602188143603)	(118, 38.24028484069898)	(120, 38.23137162027063)	(122, 38.170157010683994)	(124, 38.15620465260703)	(126, 38.11248153356702)	(128, 38.056219248131356)	(130, 37.648639453874054)
106M_R1	(1, 39.530697795125484)	(2, 39.56450270920997)	(3, 39.53455964562844)	(4, 39.39241334229315)	(5, 39.491154994021066)	(6, 39.391966907815444)	(7, 39.31624666255665)	(8, 39.23640303273305)	(9, 39.35522714024978)	(10, 39.29734077815013)	(12, 39.36411354167339)	(14, 39.28684531049925)	(16, 39.254063507788445)	(18, 39.3928219314453)	(20, 39.32280728099373)	(22, 39.32402378529396)	(24, 39.381183753507415)	(26, 39.27197308214535)	(28, 39.26102132576415)	(30, 39.270825254569345)	(32, 39.31052017080953)	(34, 39.2846042137496)	(36, 39.26397900609922)	(38, 39.23762644883875)	(40, 39.234950352643644)	(42, 39.23035084901664)	(44, 39.22504752660019)	(46, 39.21024195558839)	(48, 39.1748925200584)	(50, 39.14671524282352)	(52, 39.13496136683376)	(54, 39.061110256552425)	(56, 39.09619537929143)	(58, 39.092061938117254)	(60, 39.06197327924723)	(62, 39.01251198510212)	(64, 38.968205804923116)	(66, 38.987515566942825)	(68, 38.96372837704112)	(70, 38.88629337996594)	(72, 38.918929853376824)	(74, 38.88973959496985)	(76, 38.85566494113583)	(78, 38.84642277391177)	(80, 38.824075956238715)	(82, 38.811985377764564)	(84, 38.77937889279265)	(86, 38.7501096514131)	(88, 38.72810700827584)	(90, 38.7364779750885)	(92, 38.71894579959604)	(94, 38.70307081735489)	(96, 38.619469808135904)	(98, 38.651751176993514)	(100, 38.63929468965597)	(102, 38.601077452744384)	(104, 38.59802373837056)	(106, 38.53276744515182)	(108, 38.5578492964686)	(110, 38.48569953609452)	(112, 38.507722690212205)	(114, 38.46772108953455)	(116, 38.43866227142978)	(118, 38.42713262551277)	(120, 38.447223479710814)	(122, 38.39180033741012)	(124, 38.40337304410885)	(126, 38.36066135613663)	(128, 38.341246393336746)	(130, 38.072894802997375)
106M_R2	(1, 39.59472960110997)	(2, 39.60219563635934)	(3, 39.57676725130265)	(4, 39.59604290220682)	(5, 39.58579569277709)	(6, 39.512381438159004)	(7, 39.50477099380792)	(8, 39.48592895932836)	(9, 39.45317448469481)	(10, 39.45812435901151)	(12, 39.479174944038895)	(14, 39.45478075841765)	(16, 39.402868467410855)	(18, 39.45866222511971)	(20, 39.44388377669834)	(22, 39.43975183150523)	(24, 39.42463392212602)	(26, 39.37478191570473)	(28, 39.37974637055682)	(30, 39.364542820560395)	(32, 39.31750080604954)	(34, 39.32983162434351)	(36, 39.29800947995739)	(38, 39.28375502667963)	(40, 39.25860718531531)	(42, 39.256326407327236)	(44, 39.22688639510614)	(46, 39.23465103376911)	(48, 39.20921298939383)	(50, 39.165849229664765)	(52, 39.10067714604977)	(54, 39.14390021835887)	(56, 39.12639492987056)	(58, 39.09819794747673)	(60, 39.08282220831685)	(62, 39.068850360542214)	(64, 38.995886566536726)	(66, 39.02470928481276)	(68, 38.9733101768459)	(70, 38.946819624777646)	(72, 38.876810137245464)	(74, 38.84846379181754)	(76, 38.80663459975774)	(78, 38.8260069212338)	(80, 38.83607588904407)	(82, 38.80738493496232)	(84, 38.78858540856098)	(86, 38.72668063744442)	(88, 38.72437269911579)	(90, 38.672373448416934)	(92, 38.65307979698381)	(94, 38.6028637412346)	(96, 38.58461503637097)	(98, 38.52042561621062)	(100, 38.496425833298474)	(102, 38.473832611721576)	(104, 38.461870984590945)	(106, 38.4314777533858)	(108, 38.35689681697388)	(110, 38.369384259484306)	(112, 38.327078329967435)	(114, 38.34890374638204)	(116, 38.25200381037298)	(118, 38.27544224867712)	(120, 38.26971236544004)	(122, 38.20579914695945)	(124, 38.19580501403248)	(126, 38.15055360183287)	(128, 38.090768276337975)	(130, 37.67743091376147)
107M_R1	(1, 39.51679902549215)	(2, 39.54693276264641)	(3, 39.52038448859209)	(4, 39.39368033509856)	(5, 39.482523446281434)	(6, 39.37040305929618)	(7, 39.30054160931743)	(8, 39.23415330441121)	(9, 39.33710314550598)	(10, 39.28788743192135)	(12, 39.346388582978236)	(14, 39.27625462456236)	(16, 39.24796118259531)	(18, 39.375816731171476)	(20, 39.31185114589596)	(22, 39.31438972417609)	(24, 39.362127175281415)	(26, 39.261507289238665)	(28, 39.24886955460569)	(30, 39.247219753139575)	(32, 39.28606761406095)	(34, 39.260020957139375)	(36, 39.24200870498066)	(38, 39.22165333092661)	(40, 39.216045444754016)	(42, 39.20872742604294)	(44, 39.20701245069081)	(46, 39.1880096517103)	(48, 39.15471665419031)	(50, 39.12735830801268)	(52, 39.11379194946308)	(54, 39.048330280752914)	(56, 39.077656148667714)	(58, 39.07397318045456)	(60, 39.04458094534916)	(62, 38.99694903883463)	(64, 38.957002763474904)	(66, 38.97273250959845)	(68, 38.94841444792007)	(70, 38.87762351398062)	(72, 38.90416598940297)	(74, 38.876437834992146)	(76, 38.84531021235475)	(78, 38.836603962550775)	(80, 38.81537409596453)	(82, 38.802741318229636)	(84, 38.77211946968253)	(86, 38.743798636570986)	(88, 38.72330184793844)	(90, 38.729579510142074)	(92, 38.711171490223464)	(94, 38.696396947043425)	(96, 38.61932769776348)	(98, 38.64695961728775)	(100, 38.63495304363316)	(102, 38.5988219812413)	(104, 38.595498908477154)	(106, 38.53406963439993)	(108, 38.55665880845743)	(110, 38.4910882479619)	(112, 38.509414780993055)	(114, 38.47173444983419)	(116, 38.443038674194355)	(118, 38.43118145674357)	(120, 38.448231215995676)	(122, 38.397572237722876)	(124, 38.4068239686949)	(126, 38.36737903658485)	(128, 38.34610740663055)	(130, 38.07920108675199)
107M_R2	(1, 39.59720427423167)	(2, 39.60671822410825)	(3, 39.585498019126675)	(4, 39.60369010104319)	(5, 39.59108340091939)	(6, 39.51946693637801)	(7, 39.511996965298884)	(8, 39.49119164717804)	(9, 39.46511263566382)	(10, 39.4656282115035)	(12, 39.48733382514206)	(14, 39.457230297885076)	(16, 39.40190370620338)	(18, 39.46993488918184)	(20, 39.445464648135804)	(22, 39.44746661712912)	(24, 39.42932900699982)	(26, 39.380560686082674)	(28, 39.38642661733501)	(30, 39.37172496922334)	(32, 39.32781683238453)	(34, 39.33909175550973)	(36, 39.31008124134422)	(38, 39.29429882855116)	(40, 39.268871951436665)	(42, 39.26693998098581)	(44, 39.23752408395694)	(46, 39.24230480821002)	(48, 39.21542976750435)	(50, 39.175413709806676)	(52, 39.11541171273501)	(54, 39.15265389323291)	(56, 39.130613708885456)	(58, 39.10314108668082)	(60, 39.08967342780289)	(62, 39.07495373134748)	(64, 39.00509113021559)	(66, 39.02789719391579)	(68, 38.97752400210434)	(70, 38.949868243178)	(72, 38.88683540134549)	(74, 38.8590240065028)	(76, 38.816072684754104)	(78, 38.82828823988227)	(80, 38.834386799366456)	(82, 38.805243192499475)	(84, 38.7847216174062)	(86, 38.72597073882213)	(88, 38.720321816236876)	(90, 38.667383592166445)	(92, 38.6482453227247)	(94, 38.60027935692299)	(96, 38.58003201474509)	(98, 38.51341319461931)	(100, 38.48899457789416)	(102, 38.465655066743295)	(104, 38.45047936121483)	(106, 38.41766920776395)	(108, 38.34601578751654)	(110, 38.352055802129925)	(112, 38.30907901642793)	(114, 38.32339175515255)	(116, 38.231482208107266)	(118, 38.24680198244477)	(120, 38.2365370445474)	(122, 38.17424243671451)	(124, 38.15954697207275)	(126, 38.11447927478716)	(128, 38.05465848832529)	(130, 37.63724398361438)
109M_R1	(1, 39.48883757127877)	(2, 39.516104917711445)	(3, 39.491832064606115)	(4, 39.37737136901544)	(5, 39.457589070859775)	(6, 39.327027324648704)	(7, 39.26370051323123)	(8, 39.20274111978868)	(9, 39.29813764144752)	(10, 39.25182305179257)	(12, 39.305542817504474)	(14, 39.24234067373652)	(16, 39.22186215238804)	(18, 39.337954179765305)	(20, 39.27920816594363)	(22, 39.2817321093932)	(24, 39.3273678809264)	(26, 39.23675613492192)	(28, 39.22848763429588)	(30, 39.234867251786696)	(32, 39.26580103350743)	(34, 39.240527739653785)	(36, 39.22048342486445)	(38, 39.19406308053217)	(40, 39.186615076190606)	(42, 39.17960658294075)	(44, 39.16967643084134)	(46, 39.15463323344818)	(48, 39.120709569477604)	(50, 39.093982458852295)	(52, 39.08009864186485)	(54, 39.01591194605383)	(56, 39.03943840800052)	(58, 39.03206135392874)	(60, 39.003801430597946)	(62, 38.958389585717455)	(64, 38.91922813563143)	(66, 38.93213531141784)	(68, 38.90710692300906)	(70, 38.83992666809379)	(72, 38.86130304905653)	(74, 38.833987157517214)	(76, 38.80234277472552)	(78, 38.78982068040815)	(80, 38.766934213167005)	(82, 38.754970700954715)	(84, 38.72411586692522)	(86, 38.695259736279006)	(88, 38.674548552870036)	(90, 38.6776503393485)	(92, 38.65974811087408)	(94, 38.646085322088666)	(96, 38.57437332694989)	(98, 38.59743520834897)	(100, 38.585584379443915)	(102, 38.55011284519863)	(104, 38.54625093303986)	(106, 38.48890311815091)	(108, 38.509412516405156)	(110, 38.44932324146379)	(112, 38.46408997675921)	(114, 38.429026992613984)	(116, 38.40099824891006)	(118, 38.3884915453914)	(120, 38.40321681837837)	(122, 38.35557499296709)	(124, 38.363467300328196)	(126, 38.327219860909665)	(128, 38.307646897769885)	(130, 38.046603995842915)
109M_R2	(1, 39.57592279353805)	(2, 39.582111287427836)	(3, 39.5623094848348)	(4, 39.575382570667514)	(5, 39.57025721268266)	(6, 39.490294240566904)	(7, 39.48431649772317)	(8, 39.46975344445699)	(9, 39.44420891416698)	(10, 39.44746301170741)	(12, 39.461866929302445)	(14, 39.44134480788432)	(16, 39.39547893077727)	(18, 39.443140459657826)	(20, 39.43127892153525)	(22, 39.427599638958846)	(24, 39.41140044871688)	(26, 39.36797469522935)	(28, 39.368899655746574)	(30, 39.35332820162047)	(32, 39.3126985607727)	(34, 39.31967912589964)	(36, 39.29209987745113)	(38, 39.277144796475866)	(40, 39.25115183527483)	(42, 39.24509058709526)	(44, 39.21628720393437)	(46, 39.21977113883578)	(48, 39.19315325788773)	(50, 39.152228450754286)	(52, 39.09181332544854)	(54, 39.12357408648879)	(56, 39.103009994408126)	(58, 39.07418262973543)	(60, 39.0573984592926)	(62, 39.03963179948573)	(64, 38.97085250036959)	(66, 38.99020198579352)	(68, 38.94110879659651)	(70, 38.91304550780642)	(72, 38.84870438530007)	(74, 38.818140219092214)	(76, 38.77553672013421)	(78, 38.78319034290484)	(80, 38.78512378136629)	(82, 38.75303920246985)	(84, 38.7289155382399)	(86, 38.67003652819518)	(88, 38.661276719119286)	(90, 38.609909992670836)	(92, 38.587256724591825)	(94, 38.53723310282115)	(96, 38.513767505213494)	(98, 38.450597470451655)	(100, 38.423343098385885)	(102, 38.3954447812349)	(104, 38.37663193803766)	(106, 38.342364775321414)	(108, 38.272545526405004)	(110, 38.27705182252974)	(112, 38.234047980438675)	(114, 38.24182860581744)	(116, 38.152884932124)	(118, 38.16106693892098)	(120, 38.149023769657575)	(122, 38.086634416218786)	(124, 38.06919841050588)	(126, 38.02215971066772)	(128, 37.96349603491551)	(130, 37.55048164678229)
239M_R1	(1, 39.50310501209512)	(2, 39.53033981411343)	(3, 39.50660224219415)	(4, 39.39542255715002)	(5, 39.47407476037742)	(6, 39.3486088908459)	(7, 39.28629920565986)	(8, 39.22884976687826)	(9, 39.32097489654358)	(10, 39.27800869719354)	(12, 39.32932016221774)	(14, 39.26857942378844)	(16, 39.24561462409672)	(18, 39.360009571418935)	(20, 39.303228963306694)	(22, 39.304696745362925)	(24, 39.347105175335)	(26, 39.25787279337944)	(28, 39.25112239177453)	(30, 39.254876174910024)	(32, 39.28211003297823)	(34, 39.251662857523144)	(36, 39.23184383817685)	(38, 39.207343382229375)	(40, 39.20031428934547)	(42, 39.19237560114033)	(44, 39.18564297081658)	(46, 39.169393651437304)	(48, 39.13691485376448)	(50, 39.11072083473941)	(52, 39.09758221440053)	(54, 39.03976905054188)	(56, 39.06503473574175)	(58, 39.05858848173308)	(60, 39.03084773558747)	(62, 38.9861976068964)	(64, 38.94984656503425)	(66, 38.96128457655726)	(68, 38.93839234926155)	(70, 38.87368085315592)	(72, 38.89446235517502)	(74, 38.86752741933181)	(76, 38.83793236452165)	(78, 38.82798761744931)	(80, 38.80652535031672)	(82, 38.79481817793986)	(84, 38.76594748268698)	(86, 38.738774058730876)	(88, 38.7197569297387)	(90, 38.72244427936005)	(92, 38.705513209152635)	(94, 38.692158014652684)	(96, 38.62260599351562)	(98, 38.64556083820604)	(100, 38.63284549128302)	(102, 38.59881144824123)	(104, 38.59417246003323)	(106, 38.538359467990006)	(108, 38.557452173607544)	(110, 38.49794304351806)	(112, 38.51281513930533)	(114, 38.47778613841605)	(116, 38.44993546711335)	(118, 38.436689300192505)	(120, 38.4493810244011)	(122, 38.404079901849485)	(124, 38.410543146770124)	(126, 38.37269181769835)	(128, 38.35214525456935)	(130, 38.081233853121354)
239M_R2	(1, 39.60349047350242)	(2, 39.614157151430085)	(3, 39.59738793637517)	(4, 39.6129698514811)	(5, 39.59792812776866)	(6, 39.53032385688583)	(7, 39.523201140938035)	(8, 39.503373407431546)	(9, 39.47864874831946)	(10, 39.4796655824752)	(12, 39.499140827550605)	(14, 39.478526761480566)	(16, 39.42701924117459)	(18, 39.476123152688146)	(20, 39.463850204160494)	(22, 39.46630892518104)	(24, 39.44908837657323)	(26, 39.405677112581145)	(28, 39.408604208128324)	(30, 39.394659646582724)	(32, 39.35616907587014)	(34, 39.36577237461401)	(36, 39.339765783961354)	(38, 39.32517842081688)	(40, 39.298239565577745)	(42, 39.29584985863232)	(44, 39.268606237162686)	(46, 39.27182385141572)	(48, 39.244835807181644)	(50, 39.20721439152835)	(52, 39.151985905704265)	(54, 39.18540390852999)	(56, 39.16161701688634)	(58, 39.13638438674634)	(60, 39.12211719532771)	(62, 39.10545420604627)	(64, 39.042326168949884)	(66, 39.06099403193526)	(68, 39.01309901613044)	(70, 38.986514561403126)	(72, 38.92720784795092)	(74, 38.8991615946785)	(76, 38.860452666370335)	(78, 38.86903696083536)	(80, 38.87162076643807)	(82, 38.84224278368285)	(84, 38.82028455976395)	(86, 38.765620812386906)	(88, 38.75940196330225)	(90, 38.71192146112975)	(92, 38.6898993225999)	(94, 38.64383831808862)	(96, 38.62299250515409)	(98, 38.56254042081348)	(100, 38.53827643134188)	(102, 38.51328592270143)	(104, 38.4947763766783)	(106, 38.462972157306844)	(108, 38.394592492137875)	(110, 38.400068023649766)	(112, 38.357533529740216)	(114, 38.36513999859662)	(116, 38.27986359086667)	(118, 38.289231615214796)	(120, 38.27687902970799)	(122, 38.21819237291182)	(124, 38.20134290890512)	(126, 38.15675946981652)	(128, 38.10018261641402)	(130, 37.68056507136045)
