Sample	fastp_mqc_generalstats_fastp_pct_duplication	fastp_mqc_generalstats_fastp_after_filtering_q30_rate	fastp_mqc_generalstats_fastp_after_filtering_q30_bases	fastp_mqc_generalstats_fastp_filtering_result_passed_filter_reads	fastp_mqc_generalstats_fastp_after_filtering_gc_content	fastp_mqc_generalstats_fastp_pct_surviving	fastp_mqc_generalstats_fastp_pct_adapter	FastQC_mqc_generalstats_fastqc_percent_duplicates	FastQC_mqc_generalstats_fastqc_percent_gc	FastQC_mqc_generalstats_fastqc_avg_sequence_length	FastQC_mqc_generalstats_fastqc_median_sequence_length	FastQC_mqc_generalstats_fastqc_percent_fails	FastQC_mqc_generalstats_fastqc_total_sequences
105M	6.48344	94.6414	22484.776126999997	184.093268	17.4017	98.99994886877049	20.065534124631952						
105M_R1								16.99103566729788	17.0	256.8643147885234	131	9.090909090909092	92.046634
105M_R2								16.250617159620276	17.0	256.8460887445379	130	9.090909090909092	92.046634
106M	9.597	94.8078	21432.714358999998	174.753528	17.1928	98.97050439481899	16.73620872589944						
106M_R1								16.972621205223504	17.0	257.5154194426335	131	9.090909090909092	87.376764
106M_R2								16.17891351264508	17.0	257.43000811977885	130	9.090909090909092	87.376764
107M	8.08397	94.77449999999999	22916.553153	187.289614	17.2091	98.98350197576318	18.508181469176318						
107M_R1								16.601347345976265	17.0	256.9697447505018	131	9.090909090909092	93.644807
107M_R2								15.72524996908895	17.0	256.9479061823471	130	9.090909090909092	93.644807
109M	7.69938	94.5554	22587.887512999998	184.634908	17.215600000000002	98.97755467663617	16.63371880464581						
109M_R1								16.511867684335982	17.0	257.55362287179196	131	9.090909090909092	92.317454
109M_R2								15.685436838429368	17.0	257.47339937472714	130	9.090909090909092	92.317454
239M	7.69416	94.84179999999999	26085.149959	214.072274	17.2837	99.00466932454096	22.979263184248445						
239M_R1								17.82172249110235	17.0	255.65677092774752	131	9.090909090909092	107.036137
239M_R2								16.98839037210253	17.0	255.75584713506618	130	9.090909090909092	107.036137
240M	6.24453	94.7992	21382.689672	175.15754199999998	18.1473	98.93771508918256	23.222688582359673						
240M_R1								19.926951343798933	18.0	256.2981291093934	131	9.090909090909092	87.57877099999999
240M_R2								19.038719019292188	17.0	256.2950923974487	130	9.090909090909092	87.57877099999999
241M	6.121639999999999	94.87989999999999	21101.643988	172.43273	17.7064	99.02712828286704	22.508510466742734						
241M_R1								17.886660093471704	17.0	256.73165123581816	131	9.090909090909092	86.216365
241M_R2								17.12029838218878	17.0	256.6849082827837	130	9.090909090909092	86.216365
