CpG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	3	59	4.84	62
2	22	83	20.95	105
3	10	48	17.24	58
4	11	95	10.38	106
5	13	87	13.00	100
6	17	107	13.71	124
7	9	69	11.54	78
8	9	60	13.04	69
9	10	83	10.75	93
10	12	89	11.88	101
11	14	80	14.89	94
12	14	72	16.28	86
13	10	72	12.20	82
14	11	69	13.75	80
15	8	80	9.09	88
16	14	75	15.73	89
17	15	72	17.24	87
18	8	77	9.41	85
19	13	82	13.68	95
20	11	87	11.22	98
21	12	74	13.95	86
22	11	86	11.34	97
23	10	71	12.35	81
24	11	79	12.22	90
25	16	71	18.39	87
26	14	82	14.58	96
27	10	80	11.11	90
28	11	98	10.09	109
29	9	74	10.84	83
30	9	90	9.09	99
31	11	77	12.50	88
32	5	87	5.43	92
33	12	77	13.48	89
34	15	83	15.31	98
35	12	78	13.33	90
36	16	74	17.78	90
37	13	98	11.71	111
38	16	79	16.84	95
39	11	91	10.78	102
40	12	81	12.90	93
41	15	89	14.42	104
42	15	74	16.85	89
43	10	92	9.80	102
44	16	70	18.60	86
45	16	62	20.51	78
46	9	62	12.68	71
47	17	81	17.35	98
48	12	71	14.46	83
49	10	89	10.10	99
50	12	74	13.95	86
51	7	70	9.09	77
52	5	72	6.49	77
53	8	69	10.39	77
54	13	99	11.61	112
55	15	78	16.13	93
56	9	64	12.33	73
57	8	82	8.89	90
58	11	90	10.89	101
59	8	77	9.41	85
60	5	78	6.02	83
61	11	95	10.38	106
62	16	76	17.39	92
63	9	94	8.74	103
64	12	87	12.12	99
65	12	90	11.76	102
66	9	78	10.34	87
67	14	95	12.84	109
68	8	66	10.81	74
69	18	83	17.82	101
70	16	81	16.49	97
71	17	79	17.71	96
72	17	68	20.00	85
73	12	77	13.48	89
74	16	87	15.53	103
75	11	82	11.83	93
76	16	78	17.02	94
77	15	66	18.52	81
78	14	83	14.43	97
79	10	68	12.82	78
80	9	70	11.39	79
81	14	85	14.14	99
