File	Total Reads	Aligned Reads	Unaligned Reads	Ambiguously Aligned Reads	No Genomic Sequence	Duplicate Reads (removed)	Unique Reads (remaining)	Total Cs	Methylated CpGs	Unmethylated CpGs	Methylated chgs	Unmethylated chgs	Methylated CHHs	Unmethylated CHHs
105M_1_bismark_bt2_pe.bam	10000	4864	3891	1245	0	290	4574	156661	2327	16252	852	24186	4203	108841
106M_1_bismark_bt2_pe.bam	10000	4749	4085	1166	0	374	4375	152987	2466	15075	780	23713	4002	106951
107M_1_bismark_bt2_pe.bam	10000	4683	4176	1141	0	330	4353	151463	2577	15060	761	23688	3987	105390
109M_1_bismark_bt2_pe.bam	10000	4798	4044	1158	0	367	4431	154502	2586	15487	828	24054	4045	107502
239M_1_bismark_bt2_pe.bam	10000	4744	4129	1127	0	315	4429	148533	2393	14836	832	23052	3924	103496
240M_1_bismark_bt2_pe.bam	10000	4702	3763	1535	0	283	4419	151549	2968	15641	860	24321	4418	103341
241M_1_bismark_bt2_pe.bam	10000	4848	3841	1311	0	293	4555	153805	2297	16112	879	24407	4055	106055
242M_1_bismark_bt2_pe.bam	10000	4685	3640	1674	1	214	4471	152221	2925	17451	846	24894	4323	101782
269M_1_bismark_bt2_pe.bam	10000	4794	4024	1182	0	334	4460	152418	2350	15075	832	23234	4068	106859
270M_1_bismark_bt2_pe.bam	10000	4693	3968	1339	0	355	4338	148359	2371	15481	808	23315	4083	102301
271M_1_bismark_bt2_pe.bam	10000	4741	4125	1134	0	357	4384	150641	2526	14607	857	23477	3979	105195
272M_1_bismark_bt2_pe.bam	10000	4842	3979	1179	0	345	4497	154248	2478	15458	846	23977	4202	107287
69M_1_bismark_bt2_pe.bam	10000	4712	3812	1476	0	240	4472	154796	2729	16861	834	24420	4065	105887
70M_1_bismark_bt2_pe.bam	10000	4695	3838	1467	0	261	4434	155435	2904	16207	855	24558	4313	106598
71M_1_bismark_bt2_pe.bam	10000	4886	3678	1436	0	334	4552	160445	2843	17275	869	25922	4119	109417
72M_1_bismark_bt2_pe.bam	10000	4849	3821	1330	0	340	4509	159725	2494	17098	820	25290	4313	109710
78M_1_bismark_bt2_pe.bam	10000	4840	3820	1340	0	308	4532	157300	2658	16466	873	24644	4211	108448
79M_1_bismark_bt2_pe.bam	10000	4847	4003	1150	0	264	4583	158564	2513	15903	858	24620	4269	110401
80M_1_bismark_bt2_pe.bam	10000	4794	3942	1264	0	313	4481	155378	2565	15740	889	24433	4060	107691
81M_1_bismark_bt2_pe.bam	10000	4747	3942	1311	0	299	4448	153993	2497	15615	863	24228	4167	106623
92M_1_bismark_bt2_pe.bam	10000	4721	4028	1251	0	260	4461	147945	2314	14621	791	23163	3896	103160
93M_1_bismark_bt2_pe.bam	10000	4804	3993	1203	0	386	4418	151983	2408	15363	844	23746	4163	105459
94M_1_bismark_bt2_pe.bam	10000	4698	4044	1258	0	283	4415	154912	2560	16360	843	24418	4063	106668
95M_1_bismark_bt2_pe.bam	10000	4779	4001	1220	0	320	4459	154301	2641	15491	894	24159	4028	107088
