CpG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	81852	666659	10.94	748511
2	81503	661902	10.96	743405
3	81931	660664	11.03	742595
4	83484	662930	11.18	746414
5	83334	655890	11.27	739224
6	82734	658448	11.16	741182
7	82505	659487	11.12	741992
8	81760	659804	11.03	741564
9	82808	665971	11.06	748779
10	84612	676289	11.12	760901
11	83942	668162	11.16	752104
12	83751	667616	11.15	751367
13	84071	670807	11.14	754878
14	84097	667651	11.19	751748
15	84317	666649	11.23	750966
16	84410	667848	11.22	752258
17	83633	665251	11.17	748884
18	83902	669690	11.13	753592
19	84570	667815	11.24	752385
20	84152	669655	11.16	753807
21	84367	665688	11.25	750055
22	84607	676041	11.12	760648
23	84379	663408	11.28	747787
24	85334	667728	11.33	753062
25	84519	660250	11.35	744769
26	84545	663739	11.30	748284
27	84668	662211	11.34	746879
28	85207	665932	11.34	751139
29	84402	664856	11.26	749258
30	84437	664371	11.28	748808
31	84704	672229	11.19	756933
32	84658	669833	11.22	754491
33	85464	672933	11.27	758397
34	85088	669291	11.28	754379
35	85391	664079	11.39	749470
36	85232	666801	11.33	752033
37	86173	670121	11.39	756294
38	85085	669835	11.27	754920
39	85288	669389	11.30	754677
40	85128	670883	11.26	756011
41	85578	668966	11.34	754544
42	86093	673208	11.34	759301
43	86009	671071	11.36	757080
44	85879	672027	11.33	757906
45	85906	667830	11.40	753736
46	86329	669741	11.42	756070
47	86676	670581	11.45	757257
48	86621	672343	11.41	758964
49	86590	672892	11.40	759482
50	85879	671909	11.33	757788
51	86232	670103	11.40	756335
52	85826	669675	11.36	755501
53	85934	673421	11.32	759355
54	85810	666802	11.40	752612
55	85962	673187	11.32	759149
56	86621	669922	11.45	756543
57	86190	668952	11.41	755142
58	86310	668206	11.44	754516
59	86365	666948	11.46	753313
60	86243	669378	11.41	755621
61	87241	672133	11.49	759374
62	86885	670652	11.47	757537
63	87341	667482	11.57	754823
64	86104	670312	11.38	756416
65	86831	668292	11.50	755123
66	86119	669109	11.40	755228
67	86785	669524	11.47	756309
68	86718	669420	11.47	756138
69	87183	669323	11.52	756506
70	86432	668382	11.45	754814
71	86698	673507	11.40	760205
72	87003	669430	11.50	756433
73	86801	672256	11.44	759057
74	87280	666793	11.57	754073
75	86288	663372	11.51	749660
76	86172	662192	11.51	748364
